"id","listNum","total_goal"
48716,5,5
46704,5,5
49186,5,15
40109,5,5
46675,5,5
43513,4,4
49383,5,5
45843,5,6
48642,3,3
49083,5,6
48725,5,6
49113,4,4
44388,5,5
49359,2,2
45385,5,4
48876,4,4
43800,4,8
41947,3,3
49227,5,5
45994,5,12
49444,5,10
48954,3,3
48932,3,3
48098,4,4
48940,5,7
49245,4,4
47983,3,3
49267,5,5
49346,4,4
48596,5,5
49416,5,5
49477,5,10
48632,4,4
41537,3,3
49207,4,4
48944,5,5
48843,5,5
45998,5,5
49284,3,3
49498,3,1
49408,2,2
49048,3,3
48960,2,2
49054,5,10
48925,4,4
44064,5,14
49240,3,3
49500,5,6
49592,5,5
31279,3,3
49543,5,6
49235,5,8
49442,5,10
49516,2,2
49045,5,11
49423,5,6
49065,4,3
48972,5,10
48916,5,7
49318,5,10
48091,3,3
49109,5,10
49169,4,6
49663,3,3
49682,5,7
49676,4,4
49628,5,15
47098,5,7
47235,5,5
48337,4,3
49656,4,4
49377,2,2
49717,4,3
49025,5,5
49624,2,2
47939,4,3
49749,5,10
49414,3,3
49756,4,4
48709,3,3
49755,4,4
49773,2,3
48817,1,1
45634,5,4
49783,4,9
49583,2,2
48249,5,7
48207,4,4
43491,5,10
49613,5,3
48498,5,10
45914,3,3
49803,4,4
45747,2,2
48271,5,7
49853,3,3
49861,3,3
49716,5,3
49703,3,3
47047,5,7
49690,3,2
48868,5,5
48324,5,5
49608,5,5
48040,5,8
49691,3,3
44595,5,7
45892,4,4
49354,4,4
49629,4,4
49775,5,5
49699,3,3
46631,4,4
46625,4,4
48218,5,10
49916,5,5
48994,5,5
49804,4,5
49719,2,2
49666,4,3
49744,4,4
49108,5,3
48530,3,3
47936,5,8
49927,4,3
48349,4,5
45546,5,5
49625,5,5
49189,3,2
49139,3,3
49645,3,3
49683,5,5
48957,5,10
39135,5,5
49943,5,5
49655,3,3
49610,5,8
49922,2,2
49787,5,5
49924,5,3
49611,5,10
49819,5,5
49960,5,5
49817,3,3
49674,5,12
46624,5,4
49947,5,5
49948,2,2
49795,3,3
44430,5,3
47932,3,3
49697,4,3
49623,3,3
49647,4,2
49929,5,6
47413,5,10
49938,3,3
49789,5,5
49409,4,3
49710,3,3
49671,5,10
48474,5,5
49760,5,5
44664,4,4
49990,4,3
49741,4,4
49506,3,3
49761,2,2
49664,2,2
49936,5,5
49715,5,5
49893,4,4
49835,4,4
50019,5,3
49863,4,6
48505,3,3
49684,5,5
49199,5,5
50022,5,7
48193,4,4
49076,5,5
48314,5,5
50026,4,4
49956,4,4
50027,4,4
49914,4,4
49933,5,5
49963,5,5
49355,3,3
46757,3,3
49802,5,5
49930,5,6
49660,3,4
49830,3,3
49794,5,9
48450,5,10
50038,3,4
45840,3,3
49693,5,5
49622,3,3
49652,4,2
50044,4,4
48008,5,10
41007,2,2
49727,5,3
49638,5,8
49776,5,7
47344,5,5
49871,5,5
