"id","listNum","total_goal","variable","rating","goal"
48716,5,5,"construal_level",4,"1"
46704,5,5,"construal_level",6,"1"
49186,5,15,"construal_level",4,"1"
40109,5,5,"construal_level",6,"1"
46675,5,5,"construal_level",2,"1"
43513,4,4,"construal_level",5,"1"
49383,5,5,"construal_level",2,"1"
45843,5,6,"construal_level",2,"1"
48642,3,3,"construal_level",2,"1"
49083,5,6,"construal_level",4,"1"
48725,5,6,"construal_level",6,"1"
49113,4,4,"construal_level",4,"1"
44388,5,5,"construal_level",1,"1"
49359,2,2,"construal_level",5,"1"
45385,5,4,"construal_level",6,"1"
48876,4,4,"construal_level",2,"1"
43800,4,8,"construal_level",7,"1"
41947,3,3,"construal_level",6,"1"
49227,5,5,"construal_level",5,"1"
45994,5,12,"construal_level",7,"1"
49444,5,10,"construal_level",6,"1"
48954,3,3,"construal_level",2,"1"
48932,3,3,"construal_level",2,"1"
48098,4,4,"construal_level",4,"1"
48940,5,7,"construal_level",4,"1"
49245,4,4,"construal_level",4,"1"
47983,3,3,"construal_level",7,"1"
49267,5,5,"construal_level",4,"1"
49346,4,4,"construal_level",1,"1"
48596,5,5,"construal_level",4,"1"
49416,5,5,"construal_level",7,"1"
49477,5,10,"construal_level",2,"1"
48632,4,4,"construal_level",2,"1"
41537,3,3,"construal_level",6,"1"
49207,4,4,"construal_level",3,"1"
48944,5,5,"construal_level",2,"1"
48843,5,5,"construal_level",2,"1"
45998,5,5,"construal_level",4,"1"
49284,3,3,"construal_level",4,"1"
49498,3,1,"construal_level",7,"1"
49408,2,2,"construal_level",7,"1"
49048,3,3,"construal_level",7,"1"
48960,2,2,"construal_level",5,"1"
49054,5,10,"construal_level",7,"1"
48925,4,4,"construal_level",4,"1"
44064,5,14,"construal_level",7,"1"
49240,3,3,"construal_level",6,"1"
49500,5,6,"construal_level",4,"1"
49592,5,5,"construal_level",6,"1"
31279,3,3,"construal_level",1,"1"
49543,5,6,"construal_level",6,"1"
49235,5,8,"construal_level",4,"1"
49442,5,10,"construal_level",7,"1"
49516,2,2,"construal_level",6,"1"
49045,5,11,"construal_level",7,"1"
49423,5,6,"construal_level",7,"1"
49065,4,3,"construal_level",7,"1"
