"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","C1","total_goal","timing_First.Click","timing_Last.Click","timing_Page.Submit","timing_Click.Count","goal_list_1","goal_list_2","goal_list_3","goal_list_4","goal_list_5","no_goal","G1_1","G2_1","G3_1","G4_1","G5_1","G6_1","G7_1","G8_1","G9_1","G10_1","G11_1","G12_1","G13_1","G14_1","G15_1","G16_1","G17_1","G18_1","G19_1","G20_1","G21_1","G22_1","G23_1","G24_1","G25_1","G26_1","G27_1","G28_1","G29_1","G30_1","G31_1","G32_1","G33_1","G34_1","G35_1","G1_2","G2_2","G3_2","G4_2","G5_2","G6_2","G7_2","G8_2","G9_2","G10_2","G11_2","G12_2","G13_2","G14_2","G15_2","G16_2","G17_2","G18_2","G19_2","G20_2","G21_2","G22_2","G23_2","G24_2","G25_2","G26_2","G27_2","G28_2","G29_2","G30_2","G31_2","G32_2","G33_2","G34_2","G35_2","G1_3","G2_3","G3_3","G4_3","G5_3","G6_3","G7_3","G8_3","G9_3","G10_3","G11_3","G12_3","G13_3","G14_3","G15_3","G16_3","G17_3","G18_3","G19_3","G20_3","G21_3","G22_3","G23_3","G24_3","G25_3","G26_3","G27_3","G28_3","G29_3","G30_3","G31_3","G32_3","G33_3","G34_3","G35_3","G1_4","G2_4","G3_4","G4_4","G5_4","G6_4","G7_4","G8_4","G9_4","G10_4","G11_4","G12_4","G13_4","G14_4","G15_4","G16_4","G17_4","G18_4","G19_4","G20_4","G21_4","G22_4","G23_4","G24_4","G25_4","G26_4","G27_4","G28_4","G29_4","G30_4","G31_4","G32_4","G33_4","G34_4","G35_4","G1_5","G2_5","G3_5","G4_5","G5_5","G6_5","G7_5","G8_5","G9_5","G10_5","G11_5","G12_5","G13_5","G14_5","G15_5","G16_5","G17_5","G18_5","G19_5","G20_5","G21_5","G22_5","G23_5","G24_5","G25_5","G26_5","G27_5","G28_5","G29_5","G30_5","G31_5","G32_5","G33_5","G34_5","G35_5","check1","gender","gender_4_TEXT","race","ethnicity","major","college_standing","marital_status","income","subjectiveSES","BFI1","BFI2","BFI3","BFI4","BFI5","BFI6","BFI7","BFI8","BFI9","BFI10","BFI11","BFI12","BFI13","BFI14","BFI15","GSE1","GSE2","GSE3","GSE4","GSE5","GSE6","GSE7","GSE8","GSE9","GSE10","RSE1","RSE2","RSE3","RSE4","RSE5","RSE6","RSE7","RSE8","RSE9","RSE10","SWL1","SWL2","SWL3","SWL4","SWL5","CSWS1","CSWS2","CSWS3","CSWS4","CSWS5","CSWS6","CSWS7","CSWS8","CSWS9","CSWS10","CSWS11","CSWS12","CSWS13","CSWS14","CSWS15","CSWS16","CSWS17","CSWS18","CSWS19","CSWS20","CSWS21","CSWS22","CSWS23","CSWS24","CSWS25","CSWS26","CSWS27","CSWS28","check2","CSWS29","CSWS30","CSWS31","CSWS32","CSWS33","CSWS34","CSWS35","BSCS1","BSCS2","BSCS3","BSCS4","BSCS5","BSCS6","BSCS7","BSCS8","BSCS9","BSCS10","BSCS11","BSCS12","BSCS13","PS1","PS2","PS3","PS4","PS5","PS6","PS7","PS8","PS9","PS10","PS11","PS12","PS13","PS16","PS17","PS18","PS19","PS20","PS21","PS22","PS23","check3","PS24","PS25","PS26","PS27","PS28","PS29","PS30","PS31","PS32","GOS1","GOS2","GOS3","GOS4","GOS5","GOS6","GOS7","GOS8","GOS9","GOS10","GOS11","GOS12","GOS13","LET1","LET2","LET3","LET4","LET5","LET6","Primary_identity","D1","D2","D3","D4","D5","D6","D7","id"
"2020-02-25 16:13:38","2020-02-25 17:06:18","0","71.237.206.19","100","3160","1","2020-02-25 17:06:19","R_1QbYDiwW0tAc1vX","","","","","44.592803955078125","-123.27459716796875","anonymous","EN","1,2","5","11.884","60.948","62.3","3","My goal is to get at least 8 hours of sleep every single night because if I do not, it is harder for me to achieve my other goals that I have set for myself. By getting enough sleep everynight I am more likely to wake up feelings more motivated and less tired throughout the day.","My goal is to eat foods that make me feel good on the inside. Whether that is a salad or ice cream, my goal is to not restrict myself to things that do not make me feel good. By doing this I feel more confident in myself and do not rely on food to make me happy.","My goal is to move my body at least one time a day. This could be a workout or just taking a walk. By doing this I have time to let go of any other stress I may have. I have always been an athlete so working out helps me wind down for the day.","My goal is to work enough to make $250 a week. This helps pay all of my expenses and decreases my stress if I know I have worked enough that week.","My goal is to keep up on all my school work and keep a B+ or better in all of my classes. This is the hardest goal because keeping track of school work and putting in the time to have everything done on time can be very time consuming. ","","4","4","2","6","3","2","7","7","7","3","7","5","6","6","2","4","4","10","7","6","2","3","5","4","1","6","7","4","6","2","6","6","5","10","3","4","4","2","6","3","4","7","5","7","2","5","5","6","6","4","2","6","10","7","7","1","4","5","3","1","7","6","4","6","3","6","5","3","10","3","4","4","2","4","3","4","7","6","6","1","4","5","6","6","5","4","6","10","6","7","1","2","5","6","1","6","6","5","6","2","7","5","5","11","3","5","3","2","7","1","1","7","7","7","2","5","2","6","6","6","3","5","11","7","7","7","6","7","1","4","4","7","5","6","2","7","7","7","11","3","4","3","2","7","3","2","7","7","7","2","6","4","7","7","7","5","6","10","7","7","7","7","7","1","7","6","1","7","7","7","7","7","7","10","3","17","2","","5","2","Communication Disorders and Sciences ","3","1","1","6","4","3","1","2","1","3","1","2","2","3","3","4","5","4","4","3","2","4","3","3","4","3","3","3","3","3","0","3","2","0","0","2","1","0","3","6","5","6","6","5","7","1","4","4","5","3","7","4","2","3","6","3","2","5","3","7","2","1","6","4","2","6","3","6","2","1","5","6","3","7","6","1","4","5","6","2","5","2","1","1","1","4","2","4","2","2","5","1","1","5","2","2","2","4","2","5","5","5","1","2","2","2","1","5","4","4","1","4","1","2","5","1","4","5","2","3","4","5","2","1","4","4","4","4","4","3","2","3","2","3","3","3","2","1","5","1","4","1","5","I am part of my family","1","2","7","2","2","","","48716"
"2020-02-26 15:12:32","2020-02-26 16:04:43","0","128.223.222.114","100","3131","1","2020-02-26 16:04:44","R_25uLOb1Qdw2FjMm","","","","","44.035797119140625","-123.0576019287109375","anonymous","EN","1,2","5","11.496","13.785","65.186","3","To be healthier, get my ideal body that I am comfortable and happy with personally.","To get good grades in order to meet the GPA requirement for my sorority. I want to do this because if I make grades, I am allowed to go to social events for the upcoming term.","To be overall happy with myself and who I am. Working on self love and reflecting more of my actions and aspiring characteristics I set for myself to become the person I want to be.","To be more financially stable with my money. To spend more money on my necessities then wants","To have a better work ethic with my homework and physical fitness","","6","3","2","6","1","7","6","6","6","5","2","4","7","6","4","6","4","8","4","7","1","6","7","4","1","7","7","7","6","2","4","5","4","6","3","4","4","2","6","3","1","7","6","7","6","4","4","7","5","7","6","5","8","6","7","6","6","7","5","6","5","5","7","6","5","6","7","4","8","3","7","4","2","4","3","1","7","5","7","7","7","7","7","7","7","5","7","9","5","7","3","2","7","6","2","7","7","7","6","7","7","7","4","8","3","4","3","2","4","3","7","7","3","4","5","3","2","4","3","6","7","3","6","5","7","7","6","7","2","2","5","5","7","3","4","2","5","3","4","3","7","2","2","4","3","1","7","6","5","5","7","5","6","6","7","4","6","8","6","7","3","6","6","3","4","7","7","7","5","5","4","4","4","7","1","17","2","","5","2","Psychology","2","1","2","7","2","5","2","5","5","4","2","4","2","2","5","4","5","4","5","4","3","3","4","4","4","3","4","3","4","2","1","2","2","1","0","3","2","0","2","5","6","6","6","5","7","1","6","2","6","3","7","1","6","2","6","6","3","5","3","6","5","1","7","2","2","7","3","6","2","1","7","6","3","7","3","1","3","6","5","7","4","4","2","2","4","2","4","2","5","2","4","2","4","5","1","4","2","4","2","4","4","2","4","2","2","2","4","4","2","4","3","4","4","1","5","1","5","2","4","4","2","5","2","4","4","4","4","3","4","2","3","2","2","2","4","2","4","2","4","2","5","1","5","I am a reliable friend","2","3","6","2","2","","Fun Study! Thanks for making it interesting and fun","46704"
"2020-02-26 13:20:05","2020-02-28 16:15:30","0","128.223.222.114","100","183325","1","2020-02-28 16:15:32","R_1dgWzuDqsSZKGPK","","","","","44.035797119140625","-123.0576019287109375","anonymous","EN","1,2","15","60.347","60.347","115.13","1","To be more involved in clubs","To know how to manage my time better each day","Save money for when I go on vacation this summer","To go to the gym more and lose weight.","Become more involved in my major.","","4","4","2","1","4","1","7","4","7","7","7","5","","5","7","2","7","11","6","6","3","2","6","7","3","7","5","4","7","4","6","2","7","9","3","7","4","3","2","4","1","7","7","7","7","7","7","7","7","7","6","5","11","6","7","7","7","7","7","7","7","5","7","7","7","6","7","5","7","1","2","3","1","1","3","1","5","4","7","7","7","4","7","7","7","6","5","8","3","6","7","4","7","7","5","5","5","5","5","5","6","5","5","7","1","4","4","2","1","3","1","7","6","7","5","5","4","7","5","7","7","4","7","","7","5","7","7","3","5","6","7","7","5","5","4","5","3","6","1","6","4","2","2","3","1","7","2","7","7","7","4","7","6","7","3","5","11","3","7","2","5","7","7","6","7","3","7","5","5","5","6","5","7","3","1,3,7,9,10,11,12,14,15,16,17,18,20","2","","2","2","Pre-Education","1","1","1","7","2","5","4","5","5","4","4","4","4","1","5","5","4","3","4","4","3","3","4","4","4","4","4","4","4","2","3","2","3","1","3","3","3","1","3","6","5","5","5","6","6","1","5","7","7","3","7","1","5","4","7","5","1","7","1","6","7","1","7","6","7","7","1","6","3","1","7","7","3","7","1","1","4","7","4","7","2","4","5","3","4","3","5","1","5","5","2","5","4","5","2","4","3","4","2","2","3","3","5","1","2","3","4","4","2","2","3","2","3","2","5","2","5","5","3","4","5","4","3","2","4","3","5","5","3","1","3","4","4","3","3","4","5","1","5","1","5","1","5","I can't decide","5","4","5","6","2","","No.","49186"
"2020-02-29 13:17:39","2020-02-29 13:38:15","0","73.240.34.17","100","1236","1","2020-02-29 13:38:16","R_3kdZWvSPZ9fMLWF","","","","","44.06829833984375","-123.07630157470703125","anonymous","EN","1,2","5","0","0","74.105","0","Eat healthier","Get a good job","Graduate from college","Spend a lot of time with friends","Work hard in school","","4","2","2","4","3","3","7","5","5","6","6","4","5","6","6","4","6","10","6","6","3","6","6","5","5","6","6","6","6","5","6","6","5","8","5","7","3","1","5","1","1","1","6","6","7","6","6","7","7","7","7","4","9","6","6","6","6","6","6","6","6","3","6","7","6","7","7","5","5","3","4","3","1","7","1","1","1","7","7","7","7","6","7","7","7","3","7","11","7","7","6","7","7","4","6","7","7","7","7","7","7","6","6","10","1","4","3","2","2","3","4","6","4","6","5","5","4","5","7","6","4","3","9","5","5","3","6","6","5","5","6","5","6","6","5","5","6","5","8","3","4","3","2","4","2","3","3","6","6","6","6","5","6","6","6","6","5","10","5","5","3","6","6","3","6","6","6","6","5","6","5","6","6","8","1","17","2","","5","2","Journalism","4","1","7","8","4","4","2","4","2","2","4","4","2","4","4","3","4","4","2","3","3","3","3","3","3","3","3","3","3","2","1","2","2","1","2","2","1","1","2","6","6","6","6","3","6","2","5","2","5","2","6","4","4","3","5","5","2","5","2","6","6","4","5","5","5","5","2","5","4","4","4","4","3","4","4","3","4","4","4","4","2","4","4","2","4","2","4","2","4","2","4","4","4","4","2","4","2","4","2","4","4","4","4","2","2","2","4","4","4","4","2","4","2","2","5","4","4","4","3","4","2","2","2","2","2","2","3","2","2","2","4","4","4","2","4","4","4","2","4","2","4","2","4","I am a college student. ","3","5","6","5","2","","","42344"
"2020-03-01 07:46:09","2020-03-01 08:53:01","0","24.22.3.151","100","4012","1","2020-03-01 08:53:02","R_1jPSTBVDQolBybU","","","","","44.06829833984375","-123.07630157470703125","anonymous","EN","1,2","5","0","0","70.424","0","I strive to get into law school in the near future.","I have, and will continue to work towards achieving a good score on the LSAT","I have, and will continue to work towards finishing my winter academic term with acceptable grades. ","I attempt, and will continue to work towards being the best partner I can in my given romantic relationship.","I work towards being in better physical shape than I currently am.","","6","4","1","6","3","1","1","7","7","4","7","6","7","6","5","7","6","6","6","7","6","3","7","4","4","6","5","4","6","3","6","6","6","6","1","6","4","1","7","2","1","1","7","7","4","7","4","7","5","5","7","7","6","7","7","7","2","7","2","5","5","3","4","4","3","6","5","4","4","2","5","3","1","7","2","2","4","7","7","4","7","5","7","6","5","6","6","9","6","6","4","6","6","2","6","6","4","4","6","4","6","5","6","9","3","5","4","2","6","3","1","7","2","7","7","6","3","7","7","7","5","4","10","4","7","4","7","7","3","4","6","5","6","6","7","7","6","7","9","1","4","4","2","3","2","2","7","3","7","7","5","4","7","7","6","5","4","9","5","6","4","5","4","7","5","4","6","7","5","3","4","4","4","5","1","7,14,15,16,17,20","1","","5","2","political science, psychology, minor in legal studies","5","1","6","8","4","5","1","3","4","4","1","3","3","1","3","4","5","4","4","3","3","3","3","3","3","3","3","3","3","2","1","3","2","0","1","3","2","1","2","4","4","4","4","5","6","2","5","4","1","3","7","2","5","4","7","5","3","6","4","6","4","2","6","4","4","7","4","5","4","2","5","6","3","5","4","2","5","6","7","5","4","3","2","1","3","4","3","3","2","2","4","1","2","5","3","3","2","4","1","5","5","5","2","1","1","3","4","4","5","5","1","4","2","1","5","1","5","4","2","4","4","4","3","1","5","4","5","4","5","2","2","3","3","3","4","4","4","2","4","2","4","1","5","I am a student of knowledge. I work as hard as I can to gain as much knowledge as possible as to prepare me for future endeavors.  ","1","4","7","5","1","Some of the questions felt vague when asking about my goals. I wasn't entirely certain as to what the question was asking. For my specific goals, some of the questions felt as though they weren't applicable. ","nope","40109"
"2020-03-01 13:00:21","2020-03-01 13:35:11","0","65.182.248.37","100","2089","1","2020-03-01 13:35:12","R_3el912AmAxyevn8","","","","","45.25250244140625","-122.682403564453125","anonymous","EN","1,2","5","0","0","64.143","0","My goal is to do well on my chem final (B or better).","My goal is to research more about what career path I want to follow.","My goal is to eat better and try to cut out sugary/processed foods.","My goal is to exercise at least 30 min a day/5 times a week.","My goal is to be more confident in what I'm doing.","","2","2","2","7","2","1","5","6","5","5","5","5","5","5","4","5","4","8","5","5","4","6","5","3","4","4","6","5","7","3","6","7","5","7","4","4","4","2","5","4","1","5","4","7","6","7","5","6","5","7","5","6","8","5","5","5","7","7","4","5","7","7","6","7","5","7","6","4","6","2","3","3","2","4","1","7","6","5","5","4","5","4","6","4","7","4","2","10","5","7","3","5","6","6","4","5","7","7","3","2","4","4","5","6","1","1","3","2","7","1","1","5","7","5","5","5","5","5","5","4","3","4","11","7","7","3","5","6","5","4","5","7","6","4","3","4","6","5","7","3","7","4","2","3","2","4","4","4","7","7","7","5","6","7","5","4","3","9","3","6","4","6","7","4","3","7","7","6","2","3","4","5","3","5","1","17","2","","5","2","Human Physiology","2","1","7","8","2","5","1","5","4","3","1","2","2","3","4","4","5","4","4","3","3","4","3","3","4","4","3","4","3","2","1","2","3","0","0","2","1","0","2","6","6","6","6","6","7","1","6","6","5","3","7","1","3","2","6","6","1","5","3","7","6","1","7","5","5","7","2","6","5","1","7","6","3","7","3","1","4","5","5","3","4","3","1","3","4","3","2","5","3","2","4","2","1","5","2","4","1","5","2","4","5","4","1","1","1","1","5","4","4","4","1","3","2","1","5","3","4","3","2","5","3","4","3","2","3","3","4","4","4","2","2","4","3","2","2","2","3","1","4","1","5","1","5","I am a female.","1","3","6","4","2","","N/A","46675"
"2020-03-01 13:20:19","2020-03-01 13:55:27","0","71.193.148.46","100","2107","1","2020-03-01 13:55:28","R_1DDcoaEclB3Kiuu","","","","","44.035797119140625","-123.0576019287109375","anonymous","EN","1,2","4","0","0","165.651","0","I would like to get at least a 3.0 this term.","I would like to start a toy drive during spring term.","I would like to find an internship or job for the summer.","I would like to start volunteering at Make-A-Wish as a wish granter.","","","5","2","1","7","2","1","2","7","7","7","7","5","6","7","7","3","6","10","7","7","3","5","6","1","5","5","3","7","3","5","7","7","7","9","3","4","3","1","7","4","1","1","7","7","7","7","6","7","7","7","3","7","10","7","5","5","1","7","7","6","7","3","2","6","6","7","6","5","7","4","5","3","2","6","4","1","1","6","7","7","7","6","7","7","7","5","7","10","6","5","6","7","7","3","6","7","6","7","7","6","7","6","6","9","2","6","4","1","7","4","1","1","4","7","7","7","6","7","7","5","6","6","7","6","5","4","4","7","5","3","7","4","2","6","5","7","6","6","8","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","2","","5","2","Psychology/General Science","3","1","6","8","4","5","2","5","5","4","1","5","4","2","4","5","5","2","3","3","2","3","3","3","4","3","3","3","3","1","2","2","1","2","2","1","3","2","1","6","7","6","6","5","3","3","5","3","5","3","7","5","3","3","6","3","3","5","3","6","5","3","6","3","6","6","3","6","3","5","6","6","3","6","3","5","3","6","5","5","3","4","4","4","4","2","4","1","5","5","3","4","4","4","3","4","2","5","4","4","4","4","4","1","2","3","4","4","2","4","4","2","4","5","5","4","4","4","4","2","2","2","4","2","4","4","4","4","2","3","4","4","4","2","4","4","4","4","4","4","4","2","4","I am empathetic.","3","5","7","5","2","","No","43513"
"2020-03-01 18:29:21","2020-03-01 18:40:14","0","24.20.6.138","100","652","1","2020-03-01 18:40:15","R_PLpBFhvO9IeXu4V","","","","","44.0196990966796875","-123.100799560546875","anonymous","EN","1,2","5","59.427","59.427","61.235","1","straight As","get a good job","be healthy","own a tesla","graduate ","","4","4","2","5","3","3","4","5","5","4","6","5","4","6","5","5","6","9","5","4","4","5","5","5","6","5","4","6","4","5","4","6","3","7","3","6","3","1","4","3","5","6","5","4","4","5","4","4","5","5","5","4","7","4","7","4","4","5","5","5","5","5","5","7","4","6","7","5","6","4","6","3","1","5","4","6","8","4","6","4","5","7","7","7","5","7","5","6","7","7","7","7","7","5","7","7","7","7","7","7","7","7","6","11","2","5","2","3","5","4","6","4","6","6","5","6","4","5","5","7","5","7","9","4","3","4","5","6","5","4","5","4","7","4","6","6","5","4","6","2","8","3","1","5","4","8","7","5","6","7","4","6","5","4","4","6","5","7","6","5","5","5","4","4","6","7","6","7","4","5","4","7","6","11","1","5,10,16","1","","5","2","undeclared","2","1","7","8","4","3","4","4","4","3","4","5","4","5","4","4","4","4","4","3","3","3","4","4","2","3","2","2","3","2","2","1","2","2","2","2","2","3","2","5","4","3","5","5","4","5","4","3","5","4","4","4","4","","5","5","6","6","5","6","5","5","4","4","4","4","4","6","5","5","5","4","4","4","4","7","5","6","5","7","3","5","5","3","4","5","5","5","5","4","4","3","3","3","3","4","3","3","3","4","3","4","3","5","4","4","4","3","4","","3","3","5","5","5","4","5","4","4","5","5","5","5","5","3","3","4","4","3","4","4","3","3","4","4","5","5","4","3","3","3","3","3","student","4","4","6","","2","","no","46323"
"2020-03-01 19:12:25","2020-03-01 19:25:31","0","128.223.222.139","100","785","1","2020-03-01 19:25:32","R_27QLVEu4ata7RXM","","","","","44.035797119140625","-123.0576019287109375","anonymous","EN","1,2","1","0","0","63.662","0","Be the best I can be","learn patience","be successful","share success","love happily","","6","3","3","6","4","5","7","5","5","5","6","5","6","5","6","6","6","6","5","6","5","6","6","6","5","5","5","5","6","5","5","5","6","6","1","7","2","2","6","2","6","6","5","5","5","6","5","6","5","6","5","6","8","5","5","5","6","6","6","6","5","5","6","5","6","5","6","6","8","3","6","3","2","6","3","6","7","6","6","5","6","5","6","5","5","6","6","8","5","6","5","6","5","6","6","6","5","6","5","6","6","6","5","8","4","7","3","1","5","3","5","7","5","5","5","5","5","5","6","5","6","4","8","5","6","7","5","6","5","6","6","5","5","5","4","5","4","5","7","4","8","2","2","5","3","5","3","7","7","5","3","5","4","6","5","3","3","8","5","5","6","3","5","7","6","7","6","6","6","6","4","3","3","5","2","9","1","","2,5","2","business","1","1","7","8","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","my culture","5","5","5","5","2","","no.","48992"
"2020-03-02 22:12:58","2020-03-02 23:21:32","0","63.155.115.195","100","4113","1","2020-03-02 23:21:33","R_2E4Ac0hdeEiUzWG","","","","","44.06829833984375","-123.07630157470703125","anonymous","EN","1,2","5","2.774","31.295","96.592","3","My goal is to do well on finals to maintain my grades.","My goal is to get into law school.","My goal is to someday get married.","My goal is to be financially stable.","My goal is to keep my scholarship.","","2","2","2","7","3","3","6","4","5","5","6","6","6","6","7","5","6","9","5","7","6","5","7","2","5","6","5","7","6","3","7","5","7","1","5","7","4","1","7","4","1","1","5","5","5","7","7","7","5","7","6","7","9","5","7","3","2","5","3","5","7","5","4","7","5","5","5","6","8","1","7","4","1","7","4","1","1","1","7","6","3","4","7","5","7","4","1","9","2","5","1","4","6","7","1","7","7","7","7","4","7","4","2","1","1","5","4","2","6","4","1","3","4","7","5","5","5","7","7","7","5","5","9","4","7","2","3","6","6","4","6","7","7","5","5","7","5","5","5","1","3","4","2","7","1","1","7","5","7","4","7","5","5","6","7","5","7","9","6","7","6","6","6","4","6","5","5","7","7","5","7","6","7","7","5","17","2","","5","2","Political Science and Psychology","2","1","7","8","1","5","2","5","5","4","1","1","1","2","4","5","5","4","5","4","2","4","4","4","4","3","4","4","4","3","1","2","2","0","2","2","2","0","3","6","6","6","6","6","7","1","5","2","6","1","7","4","2","5","5","4","2","5","1","7","6","1","7","4","4","7","2","6","4","1","7","3","3","5","2","1","4","7","7","5","4","2","1","2","1","5","1","4","2","2","5","1","2","5","2","2","1","5","2","4","5","5","2","1","1","1","5","4","4","4","2","4","3","1","5","2","4","3","3","5","5","3","1","1","4","3","4","4","4","3","2","4","3","1","2","2","3","1","4","2","4","1","5","I am a friend.","1","4","3","4","2","","n/a","49383"
