"MTurkCode","listNum","total_goal"
58879,3,2
55276,3,2
82757,5,4
55737,5,4
61629,2,2
36001,2,1
29048,3,2
14508,2,1
49552,3,2
74703,2,1
69116,3,2
33482,4,3
56341,3,3
88609,2,1
30147,3,2
37191,4,3
95128,4,3
70506,3,2
11946,4,3
14844,3,2
80323,4,3
34519,5,4
80378,3,2
81728,3,2
88644,5,4
43723,4,3
79792,4,3
10680,2,1
43631,4,3
96569,3,2
18626,3,2
60183,4,3
37293,3,2
80539,4,3
83989,4,3
30945,4,3
14335,3,2
14837,6,2
11323,5,4
94847,3,2
74722,3,2
46426,3,2
89763,6,5
52913,2,1
69793,3,2
64342,4,4
58282,2,1
87853,3,2
68415,4,2
89397,5,4
69574,3,2
79094,4,3
16384,3,2
57201,3,2
65373,4,3
72776,3,2
48724,5,4
43685,5,4
85586,4,3
14492,6,2
40883,2,1
68257,4,3
42203,3,2
19335,3,2
60604,5,4
78459,6,6
21012,4,3
96758,6,2
85326,6,2
75438,6,5
44597,6,2
13095,6,5
23927,6,2
45084,3,2
43007,6,5
67526,3,2
64241,4,3
91432,6,5
99516,6,3
49224,6,7
16535,2,1
93701,4,3
14857,4,3
75360,6,3
29862,5,4
11494,4,3
91771,6,2
55136,4,3
55649,4,3
30327,6,200
82964,6,5
44406,6,5
57719,5,4
75729,3,2
43432,6,5
38483,3,2
48295,6,3
26046,6,3
70522,6,15
91435,3,2
33960,6,2
91053,3,2
12747,4,3
10804,3,2
23733,5,4
46606,6,5
58912,3,2
24433,4,3
85863,6,3
84367,3,2
79649,6,6
24270,4,3
27095,6,5
63165,4,3
80532,2,1
85720,6,3
32469,6,3
98911,4,3
92331,6,5
70502,6,4
54277,6,4
49336,6,5
89881,3,2
26849,6,5
97556,3,2
97876,2,1
43656,3,2
26770,6,20
24300,6,5
75218,4,3
97297,6,2
52657,6,3
18932,2,1
85889,5,4
11077,6,3
72850,6,3
36734,4,3
84365,3,2
74059,6,5
45477,5,4
53422,6,3
85052,6,2
55655,4,3
64023,6,2
27214,6,3
43095,4,3
16212,4,3
57259,6,2
64519,5,4
84178,3,2
34469,6,5
39828,6,5
50229,4,3
87963,6,20
56198,4,2
85390,4,2
50759,6,6
26834,4,3
82718,6,2
38282,6,3
47547,3,2
74656,6,2
99526,6,3
96033,4,3
10007,6,5
18662,6,7
45464,3,2
66175,6,5
51030,3,1
61706,5,4
32459,3,2
13786,4,3
24155,5,4
86826,5,4
66732,5,4
47945,6,4
11456,6,1
27727,5,4
76840,3,2
12603,6,4
12765,3,2
50036,6,50
20021,4,3
67206,6,5
85692,4,3
28578,6,5
94249,6,1
37028,6,2
34991,6,2
67697,5,4
13089,4,3
54139,6,3
64957,6,6
26191,5,4
83743,6,4
46655,5,4
51686,6,9
69714,5,4
75757,4,3
76327,6,5
63567,6,2
97021,6,6
34276,6,5
